Project/Concept ID,URL,Token,Count,Name,Action to Take,Resource Type,Man/Help Command,Particular Directions,,,,status_code
Project: Port Translation,https://www.uploadvr.com/porting-oculus-quest-vr-optimize/,h-HuwfG2bk0AAnrels9Scw,0,Porting to Oculus Quest,read,url,,,Show,Edit,Destroy,200
Project: Clustering,https://towardsdatascience.com/understanding-k-means-clustering-in-machine-learning-6a6e67336aa1?gi=331280946141,uqqd6PyG1wR0h6qk6qpAJw,0,Understanding K-means Clustering in Machine Learning,read,url,,,Show,Edit,Destroy,200
Project: Dimensionality Reduction,https://towardsdatascience.com/svd-8c2f72e264f?gi=d82cdc187550,DBodU3C1HIepSdMJmyjZmw,0,Understanding SVD (Singular Value Decomposition),read,url,,,Show,Edit,Destroy,200
Project: Dimensionality Reduction,https://towardsdatascience.com/https-medium-com-abdullatif-h-dimensionality-reduction-for-dummies-part-1-a8c9ec7b7e79?gi=679335dc2fdf,kOXPj-kbIiWkIjWMQ4Z1vQ,0,Dimensionality Reduction For Dummies — Part 1: Intuition,read,url,,,Show,Edit,Destroy,200
Project: Convolutions and Pooling,https://towardsdatascience.com/a-comprehensive-guide-to-convolutional-neural-networks-the-eli5-way-3bd2b1164a53?gi=221244310b1c,afbyXStazadzKNWyH34pMQ,0,A Comprehensive Guide to Convolutional Neural Networks — the ELI5 way,read,url,,,Show,Edit,Destroy,200
Project: Convolutions and Pooling,https://towardsdatascience.com/a-comprehensive-guide-to-convolutional-neural-networks-the-eli5-way-3bd2b1164a53?gi=b27f29a99f77,y7qP9PWuMyY5T7I9MFj3KQ,0,A Comprehensive Guide to Convolutional Neural Networks — the ELI5 way,read,url,,,Show,Edit,Destroy,200
Project: Dimensionality Reduction,https://towardsdatascience.com/svd-8c2f72e264f?gi=156d8994a072,UKmRMfktHOAan-p0fYfC8g,0,Understanding SVD (Singular Value Decomposition),read,url,,,Show,Edit,Destroy,200
Project: Dimensionality Reduction,https://towardsdatascience.com/https-medium-com-abdullatif-h-dimensionality-reduction-for-dummies-part-1-a8c9ec7b7e79?gi=c24d1189e8e2,epbMtSFYffWEbX_F7rrDZA,0,Dimensionality Reduction For Dummies — Part 1: Intuition,read,url,,,Show,Edit,Destroy,200
Project: Clustering,https://towardsdatascience.com/understanding-k-means-clustering-in-machine-learning-6a6e67336aa1?gi=c31feb620445,gWYVR9P6BmjrBWBYnftG1A,0,Understanding K-means Clustering in Machine Learning,read,url,,,Show,Edit,Destroy,200
Project: Unity - AR Slingshot Game,https://docs.unity3d.com/Manual/UnderstandingPerformance.html,URU2nE5un_xqwWkLKQ1GFg,0,Unity Manual: Understanding optimization in Unity,read,url,,,Show,Edit,Destroy,200
